,Attacks,Malware,Vulnerabilities,SecurityBudget,DeliveryDelay,CommodityPrices,Inventory,TransportCost,AuditDeficiencies,ComplianceFailures,PolicyChanges
2019-01-02,61,55,20,23776.92178827848,3.821390750673031,25.12073186566808,496,2682.981970428583,4,8,0
2019-01-03,24,63,21,15895.660243163107,10.267598087901833,24.797213544982938,315,167.26810672355978,3,3,0
2019-01-04,81,71,25,22153.641152288896,7.113454883474082,16.658193619138405,383,85.31177473563804,4,4,0
2019-01-05,70,47,22,17711.422533805882,9.659777038767995,16.948720498177615,451,120.3352891885531,3,4,0
2019-01-06,30,71,22,22603.282214041377,14.557208703002019,21.29900605297432,206,98.31028012275341,2,4,0
2019-01-07,92,61,5,22224.113844635445,12.593667298905133,23.853649567568866,197,423.43578492641115,4,6,0
2019-01-08,96,48,17,15073.91901444293,10.147493065130758,28.76221024904071,467,135.6089535016662,3,7,0
2019-01-09,84,64,14,20091.354129215993,7.119940018780174,11.959503206055887,329,741.6579057667503,6,3,0
2019-01-10,84,66,14,16393.194823780465,4.797387804258517,23.63509653677041,356,108.19127397174043,4,6,0
2019-01-11,97,45,21,23662.27030578677,16.205076433056792,24.438346557175237,142,115.40188898641685,2,4,0
2019-01-12,33,67,13,23715.858828624067,4.416765536137642,16.05246574332305,341,60.53463098690072,2,10,0
2019-01-13,12,60,15,19183.458074937582,13.791982809947728,18.198700492363592,141,101.15136898600535,4,4,0
2019-01-14,31,73,14,19443.956184510804,8.81292532740858,11.84834177722115,194,26.21756934150224,5,1,0
2019-01-15,62,45,34,18032.82939404527,8.431074059521302,17.49553152174385,353,17.640366308307932,1,5,0
2019-01-16,11,46,34,22166.06298960031,5.357561534724734,21.16047042361221,287,277.1817293475715,1,3,0
2019-01-17,97,29,22,18586.61363026459,8.070479925913164,27.970587307610117,484,25.908196092134514,4,2,0
2019-01-18,39,55,32,17677.924745226337,5.845993453593986,28.431827294743258,406,222.7311634598383,3,6,0
2019-01-19,47,53,26,19322.310595045084,10.516428332685841,14.85350249192807,499,89.97241741177127,3,6,0
2019-01-20,11,44,21,15914.875183874587,11.939203358461597,27.289295899284042,266,379.7560117511768,2,5,1
2019-01-21,73,49,-5,22466.032046442037,4.559601631967962,10.253273723945759,370,26.48545142185846,4,6,0
2019-01-22,69,36,26,15125.96401271787,12.121623302676813,17.075350407158588,224,269.9537947184292,4,5,0
2019-01-23,30,61,24,21444.850615205938,13.025108262057152,18.49094946461601,260,206.76852984289837,4,6,0
2019-01-24,42,45,22,16828.645267548723,10.071367324633055,21.258946953771737,186,213.26088432531256,2,5,0
